Elementos,Aspectos,Esfera de Governo,Local,Tipo de documento,Título do documento,Ano,Tipo de Legislação,Descrição,Trecho da Lei,Link,observações 
Acessibilidade ,Geral,Distrito Federal,Brasília,Plano,Plano Diretor de Transporte Urbano e Mobilidade do Distrito Federal – PDTU/DF (Lei 4.566/2011),2011,orientação,"Estabelece como um dos objetivos para o transporte coletivo, a acessibilidade por meio de calçadas e ciclovias seguras e confortáveis. ",Art. 14. O PDTU/DF estabelece os seguintes objetivos para o transporte público coletivo: […] VII – facultar a acessibilidade por meio de rede de calçadas e de ciclovias seguras e confortáveis;,http://editais.st.df.gov.br/pdtu/leipdtu.pdf,
Modo de transporte não motorizado,Diretriz,Distrito Federal,Brasília,Plano,Plano Diretor de Transporte Urbano e Mobilidade do Distrito Federal – PDTU/DF (Lei 4.566/2011),2011,orientação,Apresenta as ações que devem ser feitas para incentivar o transporte não motorizado.,"Art. 19. O transporte não motorizado tem por objetivo fundamental garantir acessibilidade às funções urbanas e aos sistemas de locomoção, assegurando-se maior inclusão social no conjunto
das políticas de transporte e circulação.
Art. 20. O transporte não motorizado, realizado a pé ou por bicicletas e, eventualmente, por outros veículos de propulsão humana deve ser incentivado para uso nas atividades diárias, por intermédio de diferentes ações:
I – criação e adequação de espaço viário seguro e confortável para o pedestre, o ciclista e a pessoa com deficiência ou mobilidade reduzida;
II – adoção de medidas de uso e ocupação do solo que favoreçam a redução das necessidades de deslocamentos motorizados;
III – realização de campanhas educativas, informativas e publicitárias.",http://editais.st.df.gov.br/pdtu/leipdtu.pdf,
Acessibilidade; Modo de transporte não motorizado ,Diretriz,Distrito Federal,Brasília,Plano,Plano Diretor de Transporte Urbano e Mobilidade do Distrito Federal – PDTU/DF (Lei 4.566/2011),2011,orientação,Apresenta as ações para melhoria do percurso para pedestre.,"Art. 23. O PDTU/DF apresenta os seguintes fundamentos para os pedestres:
I – requalificar e padronizar os espaços públicos de calçadas, passeios, travessias e pontos de para- da, mantendo-os livres e acessíveis, destinando-os ao uso primordial pelos usuários e respeitando seus desejos de deslocamento, de acesso, de espera pelo transporte coletivo e de permanência; II – definir áreas prioritárias para implantação de calçadas e travessias, observando-se normas técnicas de acessibilidade;
III – tratar locais críticos para pedestres, com medidas moderadoras de tráfego voltadas à redução de velocidade dos veículos e à melhoria ambiental do espaço urbano;
IV – implantar passarelas, semáforos de pedestres ou faixas de pedestres;
V – lançar programas educativos voltados à segurança de pedestres.",http://editais.st.df.gov.br/pdtu/leipdtu.pdf,
Acessibilidade ,Geral,Distrito Federal,Brasília,Plano,Plano Diretor de Transporte Urbano e Mobilidade do Distrito Federal – PDTU/DF (Lei 4.566/2011),2011,orientação,Engloba nos objetivos para o sistema viário medidas de proteção ao pedestre e prioridade ao transporte não motorizado.,"Art. 24. Constituem objetivos fundamentais do sistema viário: [...] II – desenvolver e implementar planos de mobilidade e circulação locais, com medidas como hierarquização viária, revisão da circulação, adequação da geometria, sinalização, articulação com sistema viário principal, e de proteção aos pedestres e ciclistas; III – implementar soluções viárias que priorizem os modos não motorizados e o transporte coletivo;",http://editais.st.df.gov.br/pdtu/leipdtu.pdf,
Acessibilidade ,Parques,Distrito Federal,Brasília,Cartilha,Cartilha de acessibilidade do Distrito Federal Vol II - Projetos Urbanos,2010,obrigatoriedade,Estabelece regras de acessibilidade para os parques e seus equipamentos.,"O planejamento e a urbanização dos parques devem ser concebidos e executados de forma a torná-los acessíveis para pessoas com deficiência ou com mobilidade reduzida.
Em parques do Distrito Federal devem ser previstas trilhas contendo percurso acessível, revestimento de piso, corrimãos e sinalização compatível com as necessidades das pessoas com deficiência física e visual.
Os parques de diversões, públicos e privados, devem adaptar, no mínimo, 5% (cinco por cento) de cada brinquedo e equipamento e identificá-lo para possibilitar sua utilização por pessoas com deficiência ou com mobilidade reduzida, tanto quanto tecnicamente possível.",http://acessibilidade.net.br/downloads/cartilhas/Cartilha_acessibilidade%20_projetos_urbanos-vl2.pdf,
Acessibilidade ,Sinalização tátil ,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,orientação,Indica Resolução da Comissão Permanente de Acessibilidade do Município de São Paulo como orientadora dos critérios para instalação de sinalização tátil de alerta e direcional.,"Art. 20. A utilização de sinalização tátil de piso na execução de rampas pré-fabricadas para rebaixamentos de calçadas e guias junto à faixa de travessia de pedestres e junto à marca de canalização de vagas destinadas ao estacionamento de veículos que transportam pessoas com deficiência nas vias e logradouros públicos do Município, nas plataformas de embarque e desembarque e na aplicação de mobiliário urbano, deverá atender aos critérios de projeto e instalação estabelecidos na Resolução CPA/SEHAB-G/014/2004, que editou o documento denominado ""Norma Técnica para Pisos Táteis"", ou regulamentação superveniente que a substitua.",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Acessibilidade ,Guias de balizamento,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,orientação,Apenas indica que o poder público pode exigir guias de balizamento em situações especiais que devem seguir a NBR9050.,"Art. 21. Em projetos especiais, o Poder Público poderá determinar a implantação de guias de balizamento, de acordo com os critérios adotados na NBR 9050 da ABNT ou norma técnica oficial superveniente que a substitua.",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Acessibilidade ,Guias de balizamento,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,permissão,Permite que o responsável pelo passeio solicite autorização para instalar corrimãos no passeio. O corrimão deve seguir a NBR9050.,"Art. 22. Em casos de topografia acentuada ou na implantação de rotas acessíveis especiais, poderá o responsável pelo passeio, mediante consulta, pelo procedimento previsto nos artigos 38, 39 e 40 deste decreto, solicitar autorização à Prefeitura do Município de São Paulo para a instalação de dispositivos de assistência, como corrimãos, desde que não interfiram na faixa de livre circulação e não se comportem como interferências, prejudicando a paisagem urbana.
Parágrafo único. As dimensões, alturas e espessuras deverão observar as regras da NBR 9050 da ABNT ou de norma técnica oficial superveniente que a substitua.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Decreto,Lei do Passeio Livre Decreto 52.903/2012,2012,obrigatoriedade,Estabelece que os responsáveis pelos imóveis são obrigados a manter em ordem os passeios públicos. Indica exceções (como existência de espécie arbórea) e como proceder.,"Art. 7º. Os responsáveis por imóveis, edificados ou não, lindeiros a vias ou logradouros públicos dotados de guias e sarjetas, são obrigados a executar, manter e conservar os respectivos passeios públicos na extensão correspondente a sua testada, na conformidade da normatização específica expedida pelo Executivo. Art. 12. A Subprefeitura, ouvida a Coordenadoria de Planejamento e Desenvolvimento Urbano, poderá dispensar a execução de passeio público, por impossibilidade ou dificuldade para a execução das obras, quando:
I - o terreno apresentar acentuado desnível em relação ao leito dos logradouros;
II - existir curso d’água ou acidente geográfico junto ao alinhamento ou nele interferindo.
Art. 13. No caso de passeio público em mau estado de manutenção e conservação em decorrência da existência de espécie arbórea, o responsável ficará dispensado do cumprimento da obrigação prevista no “caput” do artigo 7º deste decreto até que seu corte ou supressão, nas hipóteses previstas pela legislação específica, seja providenciado pela Administração Municipal ou por quem para tanto esteja autorizado.
§ 1º. A partir do corte ou supressão da espécie arbórea, o responsável terá o prazo de 30 (trinta) dias para providenciar a regularização do passeio público, de acordo com as disposições da Lei nº 15.442, de 2011, e deste decreto.
§ 2º. O responsável pelo imóvel fica obrigado a executar, manter e conservar o passeio público na parte não afetada pela existência da espécie arbórea.
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/decreto-no-52903-de-6-de-janeiro-de-2012,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Lei,Lei 15442/2011 Construção e manutenção de passeios.,2011,obrigatoriedade,Determina os responsáveis pela manutenção dos passeios públicos e indica alguns tipos de vias onde o poder público é responsável pela manutenção.,"Art. 7º Os responsáveis por imóveis, edificados ou não, lindeiros a vias ou logradouros públicos dotados de guias e sarjetas, são obrigados a executar, manter e conservar os respectivos passeios na extensão correspondente à sua testada, na conformidade da normatização específica expedida pelo Executivo.
§ 1º Ficam excluídos da obrigação de execução dos passeios, prevista no ""caput"" deste artigo, os responsáveis por imóveis localizados nas vias integrantes:
I - do Plano de Pavimentação Urbana Comunitária - PPUC, instituído pela Lei nº 10.558, de 17 de junho de 1988;
II - das rotas definidas, mediante decreto, nos termos do disposto no art. 2º da Lei nº 14.675, de 23 de janeiro de 2008, que instituiu o Plano Emergencial de Calçadas - PEC;
III - da Rede Viária Estrutural dos tipos N1, N2 e N3, a teor dos §§1º e 3º do art. 6º da Lei nº 13.885, de 25 de agosto de 2004.
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/lei-no-15442-de-9-de-setembro-de-2011,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Decreto,Lei do Passeio Livre Decreto 52.903/2012,2012,obrigatoriedade,Determina os responsáveis pelo passeio público e indica as obrigações da municipalidade,"Art. 15. Consideram-se responsáveis pelas obras e serviços previstos na Lei nº 15.442, de 2011, e neste decreto:
I - o proprietário, o titular do domínio útil ou da nua propriedade, o condomínio ou o possuidor do imóvel, a qualquer título, observado o disposto nos artigos 9º e 10 deste decreto;
II - a União, o Estado, o Município e os órgãos e entidades da respectiva Administração Indireta, quanto aos próprios de seu domínio, posse, guarda ou administração.
§ 1º. O Município reparará os danos que causar às obras e serviços de que tratam a Lei nº 15.442, de 2011, e este decreto quando da realização dos melhoramentos públicos de sua responsabilidade.
§ 2º. As permissionárias de uso de vias públicas para a implantação de equipamentos de infraestrutura urbana destinados à prestação de serviços públicos e privados repararão os danos causados aos passeios públicos na conformidade do disposto em legislação específica.
§ 3º. Os responsáveis referidos no inciso I do “caput” deste artigo respondem solidariamente pela regularidade do imóvel nos termos das disposições da Lei nº 15.442, de 2011, e deste decreto, bem como pelas penalidades decorrentes de seu descumprimento.
§ 4º. Os responsáveis referidos no inciso I do “caput” deste artigo poderão comunicar à Prefeitura a ocorrência de danos aos passeios públicos causados pelas permissionárias de uso das vias públicas a que se refere o § 2º deste artigo, tão logo verificado o dano, visando o direcionamento da ação fiscalizatória contra a permissionária infratora.
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/decreto-no-52903-de-6-de-janeiro-de-2012,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Decreto,Lei do Passeio Livre Decreto 52.903/2012,2012,obrigatoriedade,Multas para o não cumprimento de adequação do passeio público,"Art. 17. O descumprimento das disposições da Lei nº 15.442, de 2011, e deste decreto acarretará a lavratura, por irregularidade constatada, de autos de multa e de intimação para regularizar a limpeza, o fechamento ou o passeio público, conforme o caso, no prazo improrrogável de 30 (trinta) dias.
Parágrafo único. O prazo estabelecido no ""caput"" deste artigo fica reduzido a 20 (vinte) dias nos casos das irregularidades previstas no artigo 14 deste decreto. Art. 19. O responsável fica obrigado a comunicar, diretamente à Prefeitura do Município de São Paulo, que as irregularidades constatadas foram sanadas, até o termo final do prazo para atendimento da intimação.
Parágrafo único. A comunicação poderá ser feita nas Praças de Atendimento das Subprefeituras ou, quando disponibilizados, por meio de acesso ao Portal da Prefeitura do Município de São Paulo na Internet ou por outro meio eletrônico a ser criado para esse fim.
Art. 20. Na hipótese de não atendimento da intimação nos prazos estabelecidos no artigo 17 deste decreto, nova multa será aplicada por irregularidade constatada.
Parágrafo único. A multa prevista no “caput” deste artigo será renovada a cada 30 (trinta) dias até que haja a comunicação do saneamento da irregularidade ou a constatação da regularização pela Administração Municipal. Art. 23. A Prefeitura poderá, a seu critério, executar as obras e serviços não realizados nos prazos estipulados, cobrando do responsável omisso o custo apropriado, acrescido de 100% (cem por cento), sem prejuízo da aplicação da multa cabível, juros, eventuais acréscimos legais e demais despesas advindas de sua exigibilidade e cobrança.

",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/decreto-no-52903-de-6-de-janeiro-de-2012,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Lei,Plano Emergencial de Calçadas (PEC)  Lei 14.675/2008,2008,permissão,Institui o Plano Emergencial de Recuperação de Passeios Públicos com o objetivo de adequar o passeio público conforme as normas de acessibilidade. O poder público  definirá as rotas prioritárias para a realização das obras.,"Art. 1º Fica instituído o Plano Emergencial de Recuperação de Passeios Públicos e/ou calçadas, com o objetivo de promover a realização das obras necessárias à reforma ou construção de passeios e/ou calçadas que não atendam as normas previstas na legislação municipal pertinente, inclusive no tocante à acessibilidade e à circulação de pedestres com segurança, situados nas vias integrantes das rotas a serem definidas nos termos estabelecidos no art. 2º desta lei. Art. 2º O Executivo definirá, mediante decreto, as rotas emergenciais e respectivas vias abrangidas pelo Plano, especificando os pontos por ele compreendidos, de acordo com a base de dados e o sistema de informações geográficas desenvolvidos pela Secretaria Especial da Pessoa com Deficiência e Mobilidade Reduzida para identificar as principais rotas, priorizando os focos geradores de maior circulação de pedestres, incluindo locais de prestação de serviços públicos e privados em todas as regiões da Cidade de São Paulo, observados os recursos orçamentários destinados a esse fim. § 1º Cada rota emergencial terá, em média, de 2 (dois) a 5 (cinco) quilômetros e contemplará vias em que situem serviços públicos e privados, referentes a saúde, educação, esporte, cultura, correios, bancos e alimentação, dentre outros, em sinergia com paradas ou estações para embarque e desembarque de passageiros em ônibus e metrô.
§ 2º O decreto mencionado no ""caput"" deste artigo será editado 4 (quatro) vezes por ano, devendo ser disponibilizada a relação das rotas emergenciais e respectivas vias no portal da Prefeitura do Município de São Paulo na Internet.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=24012008L%20146750000,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Lei,Plano Emergencial de Calçadas (PEC)  Lei 14.675/2008,2008,obrigatoriedade,O responsável pelo imóvel tem a obrigação de manter o pesseio público após as obras do Plano Emergencial de Recuperação de Passeios Públicos.,"Art. 4º Após a execução do passeio público pelo órgão municipal competente, incumbirá ao responsável pelo imóvel, edificado ou não, a obrigação de mantê-lo sempre em perfeito estado de preservação, observado o disposto nas Leis nº 10.508, de 4 de maio de 1988, e nº 13.614, de 2 de julho de 2003, com as respectivas alterações posteriores, bem como nos decretos pertinentes.
Parágrafo único. Eventual alteração no padrão do passeio público executado na conformidade desta lei somente poderá se dar nos termos previstos na legislação municipal própria.
Art. 5º Em caso de descumprimento ao disposto no art. 4º desta lei, o responsável pelo imóvel será notificado para sanar as irregularidades no prazo de 30 (trinta) dias, sob pena de aplicação da multa no valor de R$ 1.000,00 (mil reais) por metro linear de passeio danificado, corrigido anualmente pelo Índice de Preço ao Consumidor Amplo - IPCA, do Instituto Brasileiro de Geografia e Estatística - IBGE, ou por outro índice que vier a substituí-lo.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=24012008L%20146750000,
Execução e Manutenção das calçadas,Responsável,Município,São Paulo,Plano,Plano Municipal de Mobilidade Urbana de São Paulo (Decreto 56.834 de 2016),2016,orientação,"O Plano Municipal de Mobilidade Urbana propõe metas específicas para pedestres e acessibilidade das calçadas. Dentre elas está o estabelecimento da Prefeitura como responsável pela construção, reforma e adequações das calçadas da cidade.","São metas específicas para pedestres e acessibilidade nas calçadas: propor legislação que estabeleça a prefeitura como responsável pela construção, reforma e adequações das calçadas da cidade; identificar e definir fonte de recursos para a construção, reforma e manutenção de calçadas; criar um programa permanente de adequação das calçadas à especificidade de cada local; elaborar e adotar plano de consolidação da infraestrutura que garanta a caminhabilidade nas calçadas de São Paulo.
",http://www.prefeitura.sp.gov.br/cidade/secretarias/transportes/planmob/index.php?p=212623,
Execução e Manutenção das calçadas,Responsável,Município,Rio de Janeiro,Plano ,Plano Diretor do Município do Rio de Janeiro Lei Complementar 111/2011,2011,obrigatoriedade,A conservação das calçadas é de responsabilidade do proprietário do terreno frontal.,"Art. 23. A construção, a limpeza e a conservação das calçadas é de responsabilidade do proprietário ou possuidor do imóvel ou terreno frontal.",http://www.rio.rj.gov.br/web/smu/exibeconteudo?id=2879239,
Execução e Manutenção das calçadas,Responsável,Município,Rio de Janeiro,Decreto,Decreto 29.237/2008 - Conservação de Calçadas,2008,orientação,"Regulamenta os procedimentos para aviso e aplicação de multa para calçadas em má conservação. A municipalidade responsabiliza-se pela calçada dos estabelecimentos públicos municipais, ou terrenos em situação indefinida ou sem utilização quando houver fluxo intenso de pedestre na calçada ou próxima de equipamentos públicos.","Art. 1.° A conservação das calçadas em áreas claramente frontais aos imóveis particulares, sejam residenciais ou comerciais, sendo de responsabilidade privada, ou os imóveis públicos não municipais, devem ter como desdobramento uma ação de rotina das Coordenadorias de Regiões Administrativas Subprefeituras, através de suas equipes, notificando os responsáveis e informando a respeito do que determina a Lei. § 1.° Cabe ao pessoal credenciado das Subprefeituras iniciar um programa de advertência, ainda sem aplicar multas, durante a primeira quinzena de maio, definindo com os responsáveis prazo para o conserto das calçadas e só aplicando multas quando o prazo não for observado. § 2.° Quando se tratar de imóvel comercial e o prazo não for cumprido, a Coordenação de Licenciamento e Fiscalização da Secretaria Municipal de Fazenda – F/CLF deverá ser informada de forma a advertir que em seguida será iniciado o processo de cassação do alvará. [...] 
",http://www.rio.rj.gov.br/dlstatic/10112/1017211/DLFE-238835.pdf/Decreto_calcadas.pdf ,
